SKU,id,title,description,link,image_link,price,availability,condition
9000630 829-121924 02145,388283118493,"(Qty 5) 3/8"" x 5"" NPT x OAL Pipe Nipples - SCH 80 - A/SA106-B Carbon Steel",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283118493,https://bulldogofthepines.com/banner.jpg,22.94 USD,in_stock,used
9000130 501-072023 02320,389385389324,"Burns 2"" RF Flanged Thermowell 16"" Tapered Stem 316L Stainless 1/2"" Port 150#",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389385389324,https://bulldogofthepines.com/banner.jpg,159.99 USD,in_stock,used
9000610 829-121924 02146,388283123789,"(Qty 10) 1-1/4"" Female NPT Straight Pipe Couplings - UL Listed/ FM Approved",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283123789,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9000120 501-072023 02324,389385406827,"(Box of 5) Southwire - 2-1/2"" Steel Sealing Conduit Locknut - #717 - LNS-250-I",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389385406827,https://bulldogofthepines.com/banner.jpg,47.99 USD,in_stock,used
9000120 501-072023 02325,389385412384,"Thorlabs Adjustable/ Variable Height Pedestal Post (P-Post) BLP01/M 1-1/2"" OD",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389385412384,https://bulldogofthepines.com/banner.jpg,62.39 USD,in_stock,used
9000230 501-072023 02327,389389024141,"(Qty 2) Shurflo - Water Pressure Reducer Valves 65 psi - 183-165-01 - 3/8"" Barb",Quality part. eBay Condition: New,https://bulldogofthepines.com/389389024141,https://bulldogofthepines.com/banner.jpg,22.49 USD,in_stock,new
9000230 501-072023 02328,389389027606,"Generant - Back Pressure Regulator - 1/4"" NPT - 100-350 psi - BPR-250I-C-320",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389389027606,https://bulldogofthepines.com/banner.jpg,39.99 USD,in_stock,used
9000230 501-072023 02331,389389035541,"(Bag of 25) NDL - 1/2"" 90° Short Radius Copper Elbows Cup x Cup CxC - CS7-08 107",Quality part. eBay Condition: New,https://bulldogofthepines.com/389389035541,https://bulldogofthepines.com/banner.jpg,17.99 USD,in_stock,new
9000330 501-072023 02334,389389061864,"Eaton 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen SY085007ES30A NOS",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389389061864,https://bulldogofthepines.com/banner.jpg,71.99 USD,in_stock,used
9000230 501-072023 02335,389389069236,"Eaton - 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen - SY085007ES30A",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389389069236,https://bulldogofthepines.com/banner.jpg,87.99 USD,in_stock,used
9000330 501-072023 02339,389389091089,"(Qty 2) Kimball Midwest 1"" Female JIC Swivel x Hose Crimp 45° Elbow EFJX45-16-16",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389389091089,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9000140 501-072023 02341,389389115588,"(Qty 5) 1"" NPT x 17"" Long Steel Pipe Nipples SCH 40",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389389115588,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9000830 8005-052325 02230,388605436669,(Lot of 9) DC Comics - Icon - 1993 - Issues #2 #4 #5 #6 #7 #11 #19 #20 #21,Quality part. eBay Condition: Good,https://bulldogofthepines.com/388605436669,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9001230 8005-052325 02232,388605472697,"(Lot of 3) Black Panther & The Agents of Wakanda 2019; Issues #1, #2, #2 Variant",Quality part. eBay Condition: Good,https://bulldogofthepines.com/388605472697,https://bulldogofthepines.com/banner.jpg,16.99 USD,in_stock,used
9001120 9001130 1775-052325 02155 02156,388605563042,218A Toner Cartridge *NO CHIP* for HP LaserJet Pro 3201dw & MFP 3301fdw/ 3301sdw,Quality part. eBay Condition: Open box,https://bulldogofthepines.com/388605563042,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9001520 833-072823 00961,386130854307,(1) OE Mecal by Starn - Machine Press Spare Parts - Steel Tooth - 911272097 E23,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386130854307,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9001530 833-072823 00958,386130867407,OE Mecal by Starn - Machine Press Spare Parts - Steel Bracket - 911080063 E23,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386130867407,https://bulldogofthepines.com/banner.jpg,37.49 USD,in_stock,used
9001520 833-072823 00955,386130874699,(1) OE Mecal by Starn - Machine Press Spare Parts - Steel Block - 991010018 C23,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386130874699,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9001520 833-072823 00948,386130881717,NAPA - Echlin - Heater A/C Door Actuator Motor - ADA113 - for Select 09-17 Fords,Quality part. eBay Condition: New,https://bulldogofthepines.com/386130881717,https://bulldogofthepines.com/banner.jpg,15.29 USD,in_stock,new
9001530 833-072823 00960,386130890731,Windshield Wiper Motor - 10960 - for GM Chevy 08-14 1500 2500 3500 4500 19169125,Quality part. eBay Condition: New other (see details),https://bulldogofthepines.com/386130890731,https://bulldogofthepines.com/banner.jpg,37.49 USD,in_stock,new
9001320 833-072823 00947,386130910005,Napa - Echlin - Diesel Oil Pump Seal Kit - KIT206 - for Select 05-10 Ford SD's,Quality part. eBay Condition: New,https://bulldogofthepines.com/386130910005,https://bulldogofthepines.com/banner.jpg,29.74 USD,in_stock,new
9001520 833-072823 00959,386130920511,"(Qty 6) Tetra Whip w/ Male SMA RF Antennas  2-1/4"" UHF 380 ~ 500 MHz APAMSTJ-139",Quality part. eBay Condition: New,https://bulldogofthepines.com/386130920511,https://bulldogofthepines.com/banner.jpg,15.29 USD,in_stock,new
9000740 1022-121924 02065,388117396838,"(Qty 4) Amesburytruth 24"" Window Channel Balances 2340 Replaces P/N FA2340 23-4",Quality part. eBay Condition: Open box,https://bulldogofthepines.com/388117396838,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000740 1022-121924 02063,388117405944,(Qty 10) Backplates - for BD S-Gang BlueDiamond Card Readers w/ P/N 100-02620,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388117405944,https://bulldogofthepines.com/banner.jpg,16.99 USD,in_stock,used
9000910 1022-121924 02064,388117423796,"(1,000) Gardner Bender WireGard GB-4 Black Hi Temp Wire Nuts 10-004HT 18-10 AWG",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388117423796,https://bulldogofthepines.com/banner.jpg,55.6 USD,in_stock,used
9001520 323-062223 00755,386001380351,"Parker - 30 Series -1"" ID x 1"" NPT Straight Field Attachable Nipple - 0130-16-16",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001380351,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000330 323-062223 00742,386001410093,"*Lot of 6* Hotsy - Quick Connect Couplers - 3/8"" x 3/8"" MNPT - Stainless Steel",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001410093,https://bulldogofthepines.com/banner.jpg,38.99 USD,in_stock,used
9000720 1744-062223 00609,385798557128,*Lot of 2* Bando - TL1610 - 7/8 Bore - Taper Lock Bushings - 6 Socket Set Screws,Quality part. eBay Condition: New,https://bulldogofthepines.com/385798557128,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,new
9000830 323-062223 00747,386001493318," *Lot of 2* Anvil - Iron - Reducing Tee - 1-1/2"" FNPT x 1-1/2"" FNPT x 1"" FNPT",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001493318,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000110 1744-062223 00603,385798588667,"Huron - Steel Serrated Soft Lathe Chuck Jaw - KT12EHPL - for 12"" Chucks - M14",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/385798588667,https://bulldogofthepines.com/banner.jpg,55.6 USD,in_stock,used
9000720 323-062223 00778,386001519905,Sigma Size 3 - 4-Hole Threaded Ductile Iron Flange - DF3-S C110 1X20K29D 250 psi,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001519905,https://bulldogofthepines.com/banner.jpg,31.44 USD,in_stock,used
9001320 323-062223 00765,386001527526,"*Lot of 6* TSP - 2"" FNPT x 3/4"" FNPT - Hex Reducing Pipe Coupling - Iron",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001527526,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9001520 323-062223 0779,386001541223,"Legend SA - 2"" FIP/ FNPT Black Floor Flange 350-468 - 4-Hole Class 150 5-1/2 OD",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001541223,https://bulldogofthepines.com/banner.jpg,52.49 USD,in_stock,used
9000830 323-062223 00774,386001556461,"*Lot of 2* Victaulic FireLock EZ - 2"" Pipe Coupling LPCB - Style 109 2/60.3",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001556461,https://bulldogofthepines.com/banner.jpg,27.19 USD,in_stock,used
9001220 545-122024 01999,387841415171,Thyssenkrupp Elevator - 2104CM002 - Max V2 Stand Alone Install Kit,Quality part. eBay Condition: Open box,https://bulldogofthepines.com/387841415171,https://bulldogofthepines.com/banner.jpg,129.3 USD,in_stock,used
9000410 323-062223 00773,386001571115,Victaulic - 3x2-1/2 Grooved Eccentric Reducer Pipe Coupling - 88.9x73 - No. 51,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001571115,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,used
9000320 323-062223 00777,386001607459,"Sigma - 10"" Mechanical Joint (MJ) Connector DMCP10 - 350 psi - Ductile Iron *NOS",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386001607459,https://bulldogofthepines.com/banner.jpg,87.09 USD,in_stock,used
9001120 545-122024 02002,387841468350,Yuken Hydraulic Cylinder/ Actuator C-4117B CGFB63B210R 63mm Bore x 210mm Stroke,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387841468350,https://bulldogofthepines.com/banner.jpg,194.29 USD,in_stock,used
9000710 545-122024 02003,387841478729,OEM John Deere Right-Side Hanger AW31812 for Flex-Wing Rotary Cutters CX15 HX15,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387841478729,https://bulldogofthepines.com/banner.jpg,318.24 USD,in_stock,used
9000710 545-122024 02004,387841490683,Bucket/ Cylinder Arm Link - 206-70-57120 - for Komatsu PC220 PC240 Excavators,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387841490683,https://bulldogofthepines.com/banner.jpg,225.11 USD,in_stock,used
9001020 1456-070325 01723,387221654287,Oracle Lighting Oculus Bi-LED Replacement Headlight for 21+ Bronco *See Desc*,Quality part. eBay Condition: For parts or not working,https://bulldogofthepines.com/387221654287,https://bulldogofthepines.com/banner.jpg,66.99 USD,in_stock,used
9001830 534-030824 01338,386944792033,Damianou - Black Maxi Dress - 2XL - Short Sleeve - Sparkles - Fringe - V-Neck,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944792033,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9001330 323-062223 00756,386005659580,*Lot of 4* AP Air 90° #6 Female O-Ring - 5/16 Hose - 5/8-18 - 461-7533 SR-1321SH,Quality part. eBay Condition: New,https://bulldogofthepines.com/386005659580,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,new
9002010 534-030824 01322,386944809165,Adidas - Womens Navy w/ Pink Stripes Long Sleeve Pullover Top - XS - 1/4 Zip,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944809165,https://bulldogofthepines.com/banner.jpg,12.74 USD,in_stock,used
9002010 534-030824 01331,386944814076,Ann Taylor Loft - Short Sleeve Button V Tiered Summer Dress S - Pink Bird Print,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944814076,https://bulldogofthepines.com/banner.jpg,16.14 USD,in_stock,used
9002010 534-030824 01333,386944819952,Laju - Womens Navy Blue Swing Dress - M - Cap Sleeve - Pockets - V-Neck,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944819952,https://bulldogofthepines.com/banner.jpg,12.74 USD,in_stock,used
9002010 534-030824 01324,386944831546,"JP Amalfi - ""Mare Berbero"" Berber Sea - Limited Edition White Unisex T-Shirt - L",Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944831546,https://bulldogofthepines.com/banner.jpg,15.29 USD,in_stock,used
9001830 534-030824 01339,386944844905,Quiksilver Mens XL Heritage SS T-Shirt Dark Denim Heather Blue EQYWR0302 BRQH,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386944844905,https://bulldogofthepines.com/banner.jpg,12.74 USD,in_stock,used
9000440 849-072023 01304,386797530919,"Logisnext - Pipe/ Duct, Pre Cleaner - 91A6101200 - for Mitsubishi Forklifts",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386797530919,https://bulldogofthepines.com/banner.jpg,147.39 USD,in_stock,used
9000130 849-072023 01300,386797536349,"*150 Qty* ProSelect - 36"" Cable Ties/ Zip Ties - Black - 175 lbs - PSCTB36",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386797536349,https://bulldogofthepines.com/banner.jpg,35.24 USD,in_stock,used
9001520 849-072023 01296,386797552450,Victory - Evaporator Sensing Probe w/ Connector - Gray - 50829316,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386797552450,https://bulldogofthepines.com/banner.jpg,29.74 USD,in_stock,used
9001840 1008-081823 01155,386300861040,Zara - Trafaluc Denim Skinny Pants - 10 - Black w/ Red & White Stripes - Stretch,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386300861040,https://bulldogofthepines.com/banner.jpg,16.99 USD,in_stock,used
9000420 636-072023 01308,386797587997,RAEL - Explosion Proof Electric Motor - RL-71-B4-2RL - II 2G Ex db IIC t4 Gb,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386797587997,https://bulldogofthepines.com/banner.jpg,121.93 USD,in_stock,used
9001840 1008-081823 01153,386300877101,Peserico Italy - Women's Sweater w/ Floral Design - US 8 - Black - 3/4 Sleeve,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386300877101,https://bulldogofthepines.com/banner.jpg,88.43 USD,in_stock,used
9001840 1008-081823 01148,386300880943,Coal N Terry CNT - Women's Dyed Shredded Denim Jeans - 6 - Button - Adjustable,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386300880943,https://bulldogofthepines.com/banner.jpg,90.44 USD,in_stock,used
9001530 323-062223 00758,386006268093,*Lot of 4* AP Air - 45* #10 Female O-Ring - 461-7531 - 15-2548C,Quality part. eBay Condition: New,https://bulldogofthepines.com/386006268093,https://bulldogofthepines.com/banner.jpg,27.19 USD,in_stock,new
9001330 323-062223 00759,386006273610,*Lot of 4* OEM Thermo King - Compressor Pin Dowel Replacement - 55-1123 975-2025,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386006273610,https://bulldogofthepines.com/banner.jpg,29.74 USD,in_stock,used
9001330 323-062223 00757,386006311502,"AP Air - 90* #10 Male O-Ring - Hose ID 1/2"" Thread 7/8""-18 - 461-7547 SR-1423SH",Quality part. eBay Condition: New,https://bulldogofthepines.com/386006311502,https://bulldogofthepines.com/banner.jpg,12.74 USD,in_stock,new
9001520 906-080423 00693,386006900250,"Jones Stephens - 2"" Solvent Weld PVC Floor Drain w/ Trap & Plastic Grate D50200",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386006900250,https://bulldogofthepines.com/banner.jpg,22.09 USD,in_stock,used
9001530 906-080423 00786,386007008817,"Rubinetterie Bresciane - 2"" Water Service In-Line Brass Check Valve - FNWX431K",Quality part. eBay Condition: New,https://bulldogofthepines.com/386007008817,https://bulldogofthepines.com/banner.jpg,56.24 USD,in_stock,new
9000620 602-061424 01543,387104518965,"Titan-FCI - 2"" FNPT Wye Y-Strainer - YS81-CS - A216-WCB Carbon Steel - 1480 MWP",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387104518965,https://bulldogofthepines.com/banner.jpg,44.99 USD,in_stock,used
9000620 602-061424 01483,387104580373,"Aquatherm - 3"" Split Flange Ring - Carbon Steel w/ Green Epoxy - 9790615722",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387104580373,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,used
9001530 906-080423 00690,386007358236,*Bag of 25* Hailiang -  Wrot Copper Adapters 604R - Nom 3/8 x 1/2 - OD 1/2 x 1/2,Quality part. eBay Condition: New,https://bulldogofthepines.com/386007358236,https://bulldogofthepines.com/banner.jpg,31.49 USD,in_stock,new
9001530 906-080423 00691,386007555496,*Bag of 6* Combilift 1/2 Male BSP x 3/4 Male JIC CPF00006 Forklift Fitting-Flar,Quality part. eBay Condition: New,https://bulldogofthepines.com/386007555496,https://bulldogofthepines.com/banner.jpg,27.19 USD,in_stock,new
9001520 906-080423 00704,386007694504,"*Bag of 50* Xtra Seal - 1-3/4"" Chrome Valves w/ Caps - 17-560L - Fit .0438"" Hole",Quality part. eBay Condition: New,https://bulldogofthepines.com/386007694504,https://bulldogofthepines.com/banner.jpg,33.74 USD,in_stock,new
9000730 602-061424 01489,387104912472,"Apollo T & P Relief Valve 18C521-5-125 - 1"" MNPT In x FNPT Out, 5"" Elem, 125 psi",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387104912472,https://bulldogofthepines.com/banner.jpg,66.99 USD,in_stock,used
9000730 602-061424 01493,387104922317,Pamco - Flared Reducer Tee AS1035J 080812 - for Bell 206 JetRanger/ LongRanger,Quality part. eBay Condition: New,https://bulldogofthepines.com/387104922317,https://bulldogofthepines.com/banner.jpg,48.74 USD,in_stock,new
9000130 1016-031524 01434,387021523509,Danfoss Aeroquip - ORS Swivel Fitting - 1-7/16-12 Thread x -16 Hose - 1AA16FR16,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387021523509,https://bulldogofthepines.com/banner.jpg,22.09 USD,in_stock,used
9000130 1016-031524 01426,387021530270,"AY McDonald - 3/4"" Ranger x 1"" Ranger Coupling Pipe Fitting - 74758-11 5196-010",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387021530270,https://bulldogofthepines.com/banner.jpg,48.74 USD,in_stock,used
9000220 1016-031524 01440,387021546365,"*Lot of 4* Dixon - Boss - 1"" Ground Joint Stems - GB11 - Plated Steel",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387021546365,https://bulldogofthepines.com/banner.jpg,29.74 USD,in_stock,used
9000220 1016-031524 01443,387021548821,"Parker 1/2"" In-Line Check Valve DT-500-MSMO-200 - 13/16-16 Seal-Lok x 3/4-16 ORB",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387021548821,https://bulldogofthepines.com/banner.jpg,44.99 USD,in_stock,used
9000520 1227-080223 02417,389779933731,John Deere Conveyor Roller WX-2091189 for Wirtgen W195 W200 W205 W207 W210 W215,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389779933731,https://bulldogofthepines.com/banner.jpg,299.99 USD,in_stock,used
9000640 1227-080223 02416,389780001006,"Kimball Midwest 12"" Bin Stand w/ Legs 630B Fits 612 618 619 630 631 660 661 662",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/389780001006,https://bulldogofthepines.com/banner.jpg,94.99 USD,in_stock,used
9000310 1227-080223 02415,389780268770,Bevel Gear & Pinion Set 48T/12T 4:1 Ratio Matched Set D7 A29 4048A-001 4012A-156,Quality part. eBay Condition: Used,https://bulldogofthepines.com/389780268770,https://bulldogofthepines.com/banner.jpg,374.99 USD,in_stock,used
9001110 1227-080223 02419,389780471898,"PAI Axle Shaft V2945 43-Spline 2-3/16"" OD 35-7/8"" Shaft Length 8-Bolt Tapered",Quality part. eBay Condition: Used,https://bulldogofthepines.com/389780471898,https://bulldogofthepines.com/banner.jpg,146.99 USD,in_stock,used
